Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Peyton Stumbo,PIT,AA,24,77,7.48051948051948,2.9220779220779223,2.56,1.6363636363636365,0.18390805,0.07183908,0.11206897,0.29337539,1.5324675324675325,0.33054393,0.67049808,5.8441558441558445,5.489981755343351,0.3541740888124938,5.372903058590827,sa3023009
Lucas Gordon,CHW,AA,24,92,9.880434782608695,4.108695652173913,2.4047619,1.6630434782608696,0.25634518,0.10659898,0.14974619,0.22701149,1.315217391304348,0.26956522,0.70158103,5.086956521739131,5.316163004999575,-0.22920648326044457,5.130004318447217,sa3023036
Sam Armstrong,MIN,AA,25,75.2,7.374450330618344,4.044053407113285,1.82352941,1.5462557144844915,0.18618619,0.1021021,0.08408408,0.23448276,1.3480178023710951,0.25581395,0.65732759,5.114538132525626,5.950259109891618,-0.8357209773659928,5.817735890899124,sa3023046
Ty Langenberg,MIN,"AA,AAA",24,76.2,8.569566354445264,3.404348277793324,2.51724138,0.9391305593912618,0.21282799,0.0845481,0.12827988,0.30322581,1.6043480389600722,0.37554585,0.66493955,5.400000716499755,4.336279109626998,1.0637216068727566,4.766025635337099,sa3023101
Junior Ciprian,ARI,A,21,71.2,10.046513053931381,3.8930238083984103,2.58064516,0.7534884790448536,0.27972028,0.10839161,0.17132867,0.17322835,1.0465117764511855,0.22619048,0.75443787,2.76279108983113,4.710413772011529,-1.9476226821803992,5.291788717808444,sa3023107
Joe Whitman,SFG,"AA,AAA",24,83,9.975903614457831,2.3855421686746987,4.18181818,0.7590361445783133,0.2754491,0.06586826,0.20958084,0.22580645,1.108433734939759,0.2985782,0.72446556,3.5783132530120483,3.472546396221712,0.10576685679033648,3.7258599410451745,sa3023131
Corey Avant,OAK,AA,24,82.2,10.669356151624637,5.225807094673291,2.04166667,1.3064517736683228,0.26415094,0.12938005,0.13477089,0.259375,1.5846776143569472,0.33809524,0.68259386,5.552420038090372,5.017634981455115,0.5347850566352577,4.697470535445324,sa3023137
James Hicks,HOU,AA,25,74.1,7.991031936921393,2.784753553775637,2.86956522,1.4529148976220716,0.21290323,0.07419355,0.13870968,0.27464789,1.3587444875910113,0.32038835,0.63073394,5.448430866082768,5.022896732685955,0.42553413339681345,4.429212492316659,sa3023161
Connor Oliver,PIT,"A+,AA",25,71,9.887323678048263,4.816901279049154,2.05263158,1.0140844797998219,0.25080386,0.1221865,0.12861736,0.22097378,1.3661971463969822,0.28176796,0.74074074,3.5492956792993766,4.682575957148492,-1.1332802778491153,5.1842758320412,sa3023200
Jake Brooks,COL,"AA,AAA",24,94.1,7.441696514315468,1.7173145802266465,4.33333333,1.2402827523859112,0.19354839,0.04466501,0.14888338,0.27704485,1.3038869960980093,0.31944444,0.72202166,4.674911912839204,4.544295631160926,0.13061628167827788,4.843298642832567,sa3023205
Nathan Dettmer,OAK,"A,A+",24,80.1,8.626556357963702,2.8008299863518515,3.08,0.3360995983622222,0.23123123,0.07507508,0.15615616,0.26710098,1.3319502601762139,0.34801762,0.68400771,3.697095581984444,3.6897986378307164,0.007296944153727836,4.643767223947368,sa3023207
Braydon Tucker,PHI,AA,26,77.2,7.9957092017582845,3.5922751486160407,2.22580645,1.0429185915336892,0.20783133,0.09337349,0.11445783,0.24414716,1.3390559693765887,0.28959276,0.72805139,3.1287557746010677,4.5851828232848835,-1.4564270486838158,5.234171504646847,sa3023249
Jack Wenninger,NYM,AAA,24,79.2,8.698745880605259,4.970711931774434,1.75,1.2426779829436085,0.22318841,0.12753623,0.09565217,0.21694915,1.3556487086657547,0.25603865,0.78093306,3.502092497386533,5.276570558079689,-1.7744780606931556,4.970662176234253,sa3023282
Cade Kuehler,ATL,A+,24,73.1,7.48636415560387,4.172727562139862,1.79411765,1.9636364998305234,0.1882716,0.10493827,0.08333333,0.26408451,1.4863637394550488,0.28502415,0.74514039,5.277273093294531,6.349210465801662,-1.071937372507131,5.685080439153053,sa3023306
Garrett Baumann,ATL,"AA,AAA",21,76.2,9.03913005998321,4.226086781290851,2.13888889,1.995652091165124,0.21690141,0.10140845,0.11549296,0.29206349,1.6695651481642868,0.33936652,0.61922366,6.808695369857483,6.026773108815208,0.7819222610422747,4.643043250804661,sa3023310
Cade Smith,NYY,AA,24,74,8.756756756756756,3.891891891891892,2.25,2.0675675675675675,0.22222222,0.09876543,0.12345679,0.27874564,1.5135135135135136,0.31818182,0.80472103,4.986486486486487,6.121431386792982,-1.134944900306495,5.045269728351284,sa3023371
